"","words","realpseudo","block","order","b_i","se","group"
"57","configuration","real","C",32,1.37,0.3,"4"
"58","contain","real","C",7,0.21,0.27,"3"
"59","coth","pseudo","A",71,1.01,0.29,""
"60","cotosks","pseudo","C",61,-0.68,0.27,"2"
"61","cotplicant","pseudo","B",49,0.36,0.28,""
"62","crit","pseudo","A",52,-0.45,0.27,""
"63","cuppom","pseudo","A",50,-0.25,0.27,""
"64","custom","real","A",19,-0.45,0.27,""
"65","daople","pseudo","C",57,-1.33,0.27,"2"
"66","describe","real","A",27,-0.27,0.26,""
"67","destrifs","pseudo","B",63,-1.13,0.28,""
"68","distance","real","C",14,-0.61,0.27,"2"
"69","dogo","pseudo","C",83,-0.46,0.27,"2"
"70","dolc","pseudo","B",82,-1.86,0.29,""
"71","doubtful","real","B",33,1.21,0.28,""
"72","drustion","pseudo","C",47,0.36,0.29,"3"
"73","dryer","real","A",32,0.51,0.27,""
"74","duttery","pseudo","C",63,-0.17,0.27,"2"
"75","eamn","pseudo","C",82,-1.27,0.28,"2"
"76","ef","pseudo","A",53,-2.52,0.33,""
"77","elements","real","A",14,-0.31,0.26,""
"78","fafever","pseudo","C",41,-0.18,0.28,"2"
"79","famous","real","B",27,-1.09,0.27,""
"80","farmer","real","B",11,-1.25,0.28,""
"81","faster","real","A",30,-1.77,0.3,""
"82","fatter","real","A",37,2.01,0.39,""
"83","fattify","pseudo","A",67,-0.92,0.28,""
"84","fistory","pseudo","C",71,0.11,0.26,"3"
"85","fite","pseudo","B",67,0.93,0.28,""
"86","flankfopper","pseudo","B",72,-1.4,0.29,""
"87","freat","pseudo","C",69,0.99,0.29,"4"
"88","from","real","A",25,-1.86,0.31,""
"89","fror","pseudo","A",40,-0.38,0.26,""
"90","fun","real","B",77,-2.16,0.31,""
"91","garden","real","C",20,-1.42,0.29,"2"
"92","garment","real","C",37,2.36,0.36,"4"
"93","ge","pseudo","B",54,-1.54,0.28,""
"94","germantia","pseudo","B",47,-0.77,0.27,""
"95","ggnoi","pseudo","A",48,-2.37,0.31,""
"96","ginth","pseudo","A",84,-0.97,0.28,""
"97","give","real","B",20,-1.79,0.3,""
"98","good","real","C",79,-2.47,0.32,"1"
"99","grasshopper","real","C",19,0.21,0.27,"3"
"100","gravel","real","C",8,0.37,0.28,"3"
"101","great","real","B",28,-1.72,0.29,""
"102","groon","pseudo","A",69,0.92,0.29,""
"103","guarantee","real","B",36,1.74,0.3,""
"104","guess","real","A",26,-0.9,0.27,""
"105","guoys","pseudo","C",55,-1.27,0.28,"2"
"106","gurynh","pseudo","C",84,-1.69,0.28,"1"
"107","hammer","real","B",26,-1.26,0.28,""
"108","hane","pseudo","C",52,-0.38,0.26,"2"
"109","hello","real","C",77,-2.58,0.33,"1"
"110","him","real","C",1,-1.78,0.31,"1"
"111","history","real","C",26,-1.01,0.28,"2"
"112","hot","real","C",17,-2.4,0.34,"1"
"113","however","real","A",9,-0.91,0.27,""
"114","hu","pseudo","B",39,-2.1,0.3,""
"115","hungry","real","C",80,-1.85,0.3,"1"
"116","hus","pseudo","A",68,-0.98,0.26,""
"117","hust","pseudo","A",74,1.32,0.3,""
"118","imagine","real","C",9,-0.94,0.27,"2"
"119","imeyits","pseudo","B",56,-1.35,0.29,""
"120","inni","pseudo","A",43,-1.88,0.3,""
"121","inside","real","A",28,-1.43,0.29,""
"122","insows","pseudo","B",55,-0.92,0.28,""
"123","into","real","B",15,-1.65,0.31,""
"124","invent","real","A",33,-0.46,0.28,""
"125","investigate","real","C",13,-0.21,0.26,"2"
"126","ip","pseudo","A",54,-1.87,0.3,""
"127","jewel","real","B",13,0.25,0.27,""
"128","jixel","pseudo","B",53,-2.27,0.32,""
"129","khtna","pseudo","C",40,-1.59,0.28,"1"
"130","lame","real","C",12,0.29,0.28,"3"
"131","lant","pseudo","B",61,-0.37,0.26,""
"132","left","real","B",4,-1.43,0.3,""
"133","leld","pseudo","A",45,0.46,0.28,""
"134","liberty","real","A",8,-0.64,0.27,""
"135","library","real","A",24,-1.6,0.29,""
"136","liffs","pseudo","C",67,-0.21,0.27,"2"
"137","light","real","B",30,-2.25,0.31,""
"138","listen","real","A",78,-1.17,0.28,""
"139","loleh","pseudo","C",81,-1.25,0.28,"2"
"140","loms","pseudo","A",60,-0.94,0.27,""
"141","long","real","B",9,-1.74,0.3,""
"142","look","real","C",4,-2.22,0.32,"1"
"143","losh","pseudo","A",59,-0.84,0.27,""
"144","lunch","real","A",79,-1.86,0.31,""
"145","mader","pseudo","B",76,2.24,0.35,""
"146","mannanency","pseudo","B",69,-0.74,0.28,""
"147","mich","pseudo","B",66,0.38,0.26,""
"148","miss","real","A",3,-2.4,0.32,""
"149","molent","pseudo","C",66,-0.03,0.27,"2"
"150","money","real","C",16,-1.88,0.3,"1"
"151","moon","real","B",3,-2.2,0.32,""
"152","more","real","C",24,-1.87,0.32,"1"
"153","morning","real","C",6,-1.61,0.29,"1"
"154","mout","pseudo","B",70,0.17,0.27,""
"155","mun","pseudo","B",57,-1.37,0.29,""
"156","mystery","real","A",31,-1.27,0.27,""
"157","name","real","C",78,-1.86,0.3,"1"
"158","natural","real","B",10,-1.07,0.28,""
"159","naw","pseudo","C",73,0.63,0.3,"3"
"160","nied","pseudo","A",61,-0.72,0.27,""
"161","night","real","A",80,-2.01,0.31,""
"162","nop","pseudo","A",72,-0.7,0.27,""
"163","nuf","pseudo","B",81,-1.77,0.31,""
"164","nulch","pseudo","A",83,-1.39,0.28,""
"165","number","real","B",18,-2.16,0.3,""
"166","oban","pseudo","C",50,-1.2,0.28,"2"
"167","om","pseudo","A",41,-1.8,0.3,""
"168","once","real","A",35,-0.95,0.28,""
"169","open","real","C",3,-2.28,0.31,"1"
"170","orn","pseudo","C",43,-1.58,0.29,"1"
"171","ot","pseudo","B",41,-1.47,0.28,""
"172","overwhelm","real","C",36,0.52,0.27,"3"
"173","pame","pseudo","C",51,-0.18,0.27,"2"
"174","peace","real","B",22,-1.28,0.29,""
"175","pealt","pseudo","C",58,0.16,0.28,"3"
"176","pencil","real","B",29,-1.2,0.28,""
"177","people","real","C",2,-2.6,0.33,"1"
"178","phlere","pseudo","C",56,-1.1,0.28,"2"
"179","pickle","real","A",12,-0.7,0.27,""
"180","plane","real","B",5,-1.09,0.28,""
"181","play","real","A",1,-3.26,0.36,""
"182","plays","real","B",2,-1.96,0.31,""
"183","pledge","real","B",32,1.67,0.31,""
"184","potent","real","B",38,3.81,0.57,""
"185","pretty","real","C",15,-1.16,0.28,"2"
"186","purchase","real","A",29,0.07,0.27,""
"187","qualify","real","C",21,1.42,0.29,"4"
"188","question","real","C",31,-0.88,0.27,"2"
"189","rackle","pseudo","C",76,1.41,0.35,"4"
"190","rebosks","pseudo","C",59,-0.92,0.27,"2"
"191","resolve","real","A",13,0.15,0.26,""
"192","reverse","real","A",34,-0.25,0.26,""
"193","roder","pseudo","B",58,1,0.29,""
"194","round","real","C",22,-1.88,0.29,"1"
"195","runey","pseudo","C",45,-0.39,0.27,"2"
"196","sain","pseudo","B",44,0.64,0.28,""
"197","scays","pseudo","C",72,-0.13,0.27,"2"
"198","shine","real","A",7,-0.37,0.27,""
"199","shink","pseudo","B",75,3.05,0.51,""
"200","short","real","C",29,-1.79,0.3,"1"
"201","shring","pseudo","B",45,1.1,0.29,""
"202","sick","real","C",11,-1.24,0.29,"2"
"203","sids","pseudo","B",71,0.6,0.27,""
"204","sint","pseudo","A",62,0.02,0.27,""
"205","sit","real","A",77,-0.63,0.3,""
"206","slace","pseudo","C",46,0.45,0.27,"3"
"207","slellen","pseudo","A",56,-0.31,0.26,""
"208","snose","pseudo","C",74,0.95,0.28,"4"
"209","speveal","pseudo","B",65,-0.05,0.27,""
"210","spu","pseudo","B",43,-1.68,0.29,""
"211","spy","real","C",35,-0.74,0.27,"2"
"212","stenil","pseudo","A",82,-0.99,0.27,""
"213","streat","pseudo","A",75,3.19,0.46,""
"214","street","real","B",35,-1.45,0.29,""
"215","strosh","pseudo","A",70,-0.44,0.27,""
"216","sudsage","pseudo","A",65,-0.1,0.27,""
"217","sun","real","A",6,-2.07,0.33,""
"218","swane","pseudo","C",44,0.05,0.27,"3"
"219","teacher","real","B",80,-1.85,0.3,""
"220","telechinct","pseudo","A",64,0.72,0.28,""
"221","telescoped","real","A",38,2.13,0.4,""
"222","testify","real","A",21,2.02,0.33,""
"223","tfaer","pseudo","A",57,-1.28,0.29,""
"224","them","real","A",22,-1.33,0.29,""
"225","throomba","pseudo","B",83,-1.06,0.27,""
"226","through","real","C",28,-1.43,0.29,"2"
"227","time","real","B",1,-2.55,0.34,""
"228","tis","pseudo","A",81,-0.85,0.28,""
"229","toy","real","B",7,-1.77,0.3,""
"230","tried","real","B",25,-1.47,0.28,""
"231","trood","pseudo","A",58,0.35,0.29,""
"232","truck","real","B",23,-1.66,0.29,""
"233","trull","pseudo","A",73,0.2,0.27,""
"234","twew","pseudo","C",54,-1.2,0.28,"2"
"235","ujst","pseudo","A",42,-1.51,0.28,""
"236","understand","real","B",17,-1.49,0.27,""
"237","unger","pseudo","B",48,-0.97,0.27,""
"238","uoy","pseudo","A",39,-1.95,0.3,""
"239","utashing","pseudo","C",60,-1.2,0.28,"2"
"240","wared","pseudo","A",44,2.36,0.38,""
"241","wase","pseudo","B",64,1.37,0.29,""
"242","watch","real","C",10,-2.04,0.3,"1"
"243","waves","real","A",23,-0.95,0.28,""
"244","we","real","A",2,-0.94,0.3,""
"245","went","real","B",19,-1.56,0.29,""
"246","whose","real","A",36,0,0.28,""
"247","will","real","A",17,-2.29,0.33,""
"248","without","real","A",11,-1.66,0.29,""
"249","woft","pseudo","C",70,0.29,0.26,"3"
"250","wood","real","B",24,-1.65,0.3,""
"251","yos","pseudo","B",60,-1.65,0.28,""
"252","ypla","pseudo","B",40,-2.09,0.3,""
